DATE,TIME,NEW_CASE_COUNT,CUMULATIVE_CASE_COUNT
15FEB2020,1,1,1
16FEB2020,2,1,2
17FEB2020,3,,2
18FEB2020,4,,2
19FEB2020,5,1,3
20FEB2020,6,1,4
21FEB2020,7,1,5
22FEB2020,8,,5
23FEB2020,9,2,7
24FEB2020,10,,7
25FEB2020,11,3,10
26FEB2020,12,1,11
27FEB2020,13,1,12
28FEB2020,14,4,16
29FEB2020,15,4,20
01MAR2020,16,8,28
02MAR2020,17,3,31
03MAR2020,18,5,36
04MAR2020,19,5,41
05MAR2020,20,5,46
06MAR2020,21,14,60
07MAR2020,22,7,67
08MAR2020,23,16,83
09MAR2020,24,30,113
10MAR2020,25,36,149
11MAR2020,26,36,185
12MAR2020,27,38,223
13MAR2020,28,62,285
14MAR2020,29,67,352
15MAR2020,30,75,427
16MAR2020,31,98,525
17MAR2020,32,122,647
18MAR2020,33,97,744
19MAR2020,34,95,839
20MAR2020,35,129,968
21MAR2020,36,94,1062
22MAR2020,37,88,1150
23MAR2020,38,147,1297
24MAR2020,39,123,1420
25MAR2020,40,123,1543
26MAR2020,41,134,1677
27MAR2020,42,161,1838
28MAR2020,43,151,1989
29MAR2020,44,103,2092
30MAR2020,45,159,2251
31MAR2020,46,144,2395
01APR2020,47,152,2547
02APR2020,48,142,2689
03APR2020,49,146,2835
04APR2020,50,95,2930
05APR2020,51,101,3031
06APR2020,52,154,3185
07APR2020,53,128,3313
08APR2020,54,137,3450
09APR2020,55,157,3607
10APR2020,56,182,3789
11APR2020,57,153,3942
12APR2020,58,149,4091
13APR2020,59,194,4285
14APR2020,60,158,4443
15APR2020,61,167,4610
16APR2020,62,210,4820
17APR2020,63,160,4980
18APR2020,64,125,5105
19APR2020,65,111,5216
20APR2020,66,193,5409
21APR2020,67,178,5587
22APR2020,68,168,5755
23APR2020,69,210,5965
24APR2020,70,175,6140
25APR2020,71,140,6280
26APR2020,72,132,6412
27APR2020,73,204,6616
28APR2020,74,234,6850
29APR2020,75,177,7027
30APR2020,76,187,7214
01MAY2020,77,156,7370
02MAY2020,78,120,7490
03MAY2020,79,98,7588
04MAY2020,80,134,7722
05MAY2020,81,147,7869
06MAY2020,82,105,7974
07MAY2020,83,46,8020
08MAY2020,84,1,8021
